new_index,figi,name,ticker,exchCode,compositeFIGI,securityType,marketSector,shareClassFIGI,securityType2,securityDescription,uniqueID,uniqueIDFutOpt
133,BBG005TX8RJ6,ACTUAL EXPERIENCE PLC,ACT,LN,BBG005MB7YX1,Common Stock,Equity,BBG005MB7Z04,Common Stock,ACT,,
134,BBG000BJ5HK0,ACUITY BRANDS INC,AYI,US,BBG000BJ5HK0,Common Stock,Equity,BBG001SBG656,Common Stock,AYI,,
135,BBG0027T1S01,ACUITYADS HOLDING INC,AT,CN,BBG0027T1S01,Common Stock,Equity,BBG0027T1SM7,Common Stock,AT,,
136,BBG000J0MK45,ACURA PHARMACEUTICALS INC,ACUR,US,BBG000J0MK45,Common Stock,Equity,BBG001SG00G3,Common Stock,ACUR,,
137,BBG00D5L3SS4,ACUSHNET HOLDINGS CORP,GOLF,US,BBG00D5L3SS4,Common Stock,Equity,BBG00D5L3ST3,Common Stock,GOLF,,
138,BBG000BCCXZ6,ACUSPHERE INC,ACUS,US,BBG000BCCXZ6,Common Stock,Equity,BBG001S6WZ28,Common Stock,ACUS,,
139,,,,,,,,,,,,
140,BBG000BYP2Z2,ADACEL TECHNOLOGIES LTD,ADA,AU,BBG000BYP2Z2,Common Stock,Equity,BBG001SBK2J5,Common Stock,ADA,,
141,BBG009BJSP55,ADAIRS LTD,ADH,AU,BBG009BJSP55,Common Stock,Equity,BBG009BJSP64,Common Stock,ADH,,
142,BBG00D9SX1C8,ADALTA LTD,1AD,AU,BBG00D9SX1C8,Common Stock,Equity,BBG00D9SX1N6,Common Stock,1AD,,
143,BBG000BZBZ36,ADAMA LTD-A,000553,CH,BBG000BZBZ36,Common Stock,Equity,BBG001SJWDS1,Common Stock,000553,,
144,BBG000G2B326,ADAMA TECHNOLOGIES CORP,ADAC,PQ,BBG000G28S07,Common Stock,Equity,BBG001T2SHT2,Common Stock,ADAC,,
145,BBG00HL6CC14,ADAMAS PHARMACEUTICALS INC,ADMSEUR,XS,BBG00HL6CBK5,Common Stock,Equity,BBG00203JH00,Common Stock,ADMSEUR,,
