,Code,Exchange,Name,Type,Country,Currency,ISIN,previousClose,previousCloseDate
161,ADKO,VI,Addiko Bank AG,Common Stock,Austria,EUR,AT000ADDIKO0,10.2,2022-07-21
162,ZYE1,F,Addiko Bank AG,Common Stock,Germany,EUR,AT000ADDIKO0,10.25,2022-07-20
163,000547,SHE,Addsino Co Ltd,Common Stock,China,CNY,CNE000000DM5,11.32,2022-07-21
164,ADUS,US,Addus HomeCare Corporation,Common Stock,USA,USD,US0067391062,95.23,2022-07-21
165,A31,SG,Addvalue Technologies Ltd,Common Stock,Singapore,SGD,SG1I67883666,0.015,2022-07-21
166,ADEN,SW,Adecco Group AG Class N,Common Stock,Switzerland,CHF,CH0012138605,33.85,2022-07-21
167,0QNM,LSE,Adecco Group AG Class N,Common Stock,UK,GBP,CH0012138605,33.92,2022-07-21
168,4401,TSE,Adeka Corp,Common Stock,Japan,JPY,JP3114800000,2416.0,2022-07-21
169,ADE,V,Adex Mining Inc,Common Stock,Canada,CAD,CA0069032070,0.01,2022-07-20
170,ADFFOODS,NSE,ADF Foods Limited,Common Stock,India,INR,INE982B01019,706.85,2022-07-21
171,ADFFOODS,BSE,ADF FOODS LTD.-$,Common Stock,India,INR,INE982B01019,704.75,2022-07-21
172,DRX,TO,ADF Group Inc.,Common Stock,Canada,CAD,CA00089N1033,1.45,2022-07-21
173,ATRX,US,Adhera Therapeutics Inc,Common Stock,USA,USD,US00687E1091,0.073,2022-07-21
174,ADR,AU,Adherium Ltd,Common Stock,Australia,AUD,AU000000ADR1,0.01,2022-07-21
175,ADIL,US,Adial Pharmaceuticals Inc,Common Stock,USA,USD,US00688A1060,0.8336,2022-07-21
176,ADS,XETRA,adidas AG,Common Stock,Germany,EUR,DE000A1EWWW0,175.08,2022-07-21
177,0OLD,LSE,Adidas AG,Common Stock,UK,EUR,DE000A1EWWW0,174.03,2022-07-21
178,ADDDF,US,Adidas AG,Common Stock,USA,USD,DE000A1EWWW0,171.5,2022-07-21
179,ADDYY,US,Adidas AG ADR,Common Stock,USA,USD,US00687A1079,89.68,2022-07-21
180,ADNT,US,Adient PLC,Common Stock,USA,USD,IE00BD845X29,31.0,2022-07-21
181,ABCAPITAL,NSE,Aditya Birla Capital Limited,Common Stock,India,INR,INE674K01013,100.0,2022-07-21
182,ABCAPITAL,BSE,Aditya Birla Capital Ltd,Common Stock,India,INR,INE674K01013,99.9,2022-07-21
183,BIRLAMONEY,NSE,Aditya Birla Money Limited,Common Stock,India,INR,INE865C01022,57.55,2022-07-21
184,BIRLAMONEY,BSE,ADITYA BIRLA MONEY LTD.-$,Common Stock,India,INR,INE865C01022,57.5,2022-07-21
185,ADMA,US,ADMA Biologics Inc,Common Stock,USA,USD,US0008991046,2.24,2022-07-21
186,ADBE,US,Adobe Systems Incorporated,Common Stock,USA,USD,US00724F1012,408.91,2022-07-21
187,ADORWELD,NSE,Ador Welding Limited,Common Stock,India,INR,INE045A01017,780.25,2022-07-21
188,ADORWELD,BSE,ADOR WELDING LTD.,Common Stock,India,INR,INE045A01017,776.6,2022-07-21
189,ADP,PA,Aeroports de Paris SA,Common Stock,France,EUR,FR0010340141,124.4,2022-07-21
190,0NP8,LSE,Aeroports de Paris SA,Common Stock,UK,EUR,FR0010340141,124.475,2022-07-21
191,ADT,AU,Adriatic Metals Plc,Common Stock,Australia,AUD,AU0000004772,1.775,2022-07-21
192,ADMLF,US,Adriatic Metals Plc,Common Stock,USA,USD,AU0000004772,1.2,2022-07-21
193,3FN,F,Adriatic Metals Plc,Common Stock,Germany,EUR,AU0000004772,1.14,2022-07-20
194,ADROITINFO,NSE,Adroit Infotech Limited,Common Stock,India,INR,INE737B01033,17.05,2022-07-21
195,ADROITINFO,BSE,Adroit Infotech Ltd,Common Stock,India,INR,INE737B01033,17.1,2022-07-21
196,ADST,US,Adstar Inc,Common Stock,USA,USD,US00737P1049,0.0,2022-07-21
197,ATGE,US,Adtalem Global Education Inc,Common Stock,USA,USD,US00737L1035,39.08,2022-07-21
198,6668,TSE,Adtec Plasma Technology Co Ltd,Common Stock,Japan,JPY,JP3122010006,1890.0,2022-07-21
199,ADVN,SW,Adval Tech Holding AG,Common Stock,Switzerland,CHF,CH0008967926,143.0,2022-07-20
200,AAP,US,Advance Auto Parts Inc,Common Stock,USA,USD,US00751Y1064,189.83,2022-07-21
201,AWN,F,Advance Auto Parts Inc,Common Stock,Germany,EUR,US00751Y1064,188.0,2022-07-21
202,3773,TSE,Advanced Media Inc,Common Stock,Japan,JPY,JP3122150000,787.0,2022-07-21
203,AMD,US,Advanced Micro Devices Inc,Common Stock,USA,USD,US0079031078,91.09,2022-07-21
204,AMD,XETRA,Advanced Micro Devices Inc,Common Stock,Germany,EUR,US0079031078,88.63,2022-07-21
205,AMD,F,Advanced Micro Devices Inc,Common Stock,Germany,EUR,US0079031078,88.47,2022-07-21
206,5998,TSE,Advanex Inc,Common Stock,Japan,JPY,JP3213400009,1080.0,2022-07-21
207,ADVANIHOTR,NSE,Advani Hotels & Resorts (India) Limited,Common Stock,India,INR,INE199C01026,76.15,2022-07-21
208,ADVANIHOTR,BSE,ADVANI HOTELS & RESORTS (INDIA) LTD.,Common Stock,India,INR,INE199C01026,76.0,2022-07-21
209,ASIX,US,AdvanSix Inc,Common Stock,USA,USD,US00773T1016,36.17,2022-07-21
210,8769,TSE,Advantage Risk Management Co Ltd,Common Stock,Japan,JPY,JP3122410008,523.0,2022-07-21
211,ADGO,US,Advantego Corporation,Common Stock,USA,USD,US00775N1028,0.0001,2022-07-21
212,6857,TSE,Advantest Corp.,Common Stock,Japan,JPY,JP3122400009,7480.0,2022-07-21
213,ADVT,US,Advantis Corp,Common Stock,USA,USD,US0076141003,0.0001,2022-07-21
214,6030,TSE,Adventure Inc,Common Stock,Japan,JPY,JP3122380003,7990.0,2022-07-21
215,ADZN,V,Adventus Mining Corp,Common Stock,Canada,CAD,CA00791E1025,0.405,2022-07-21
216,ADVM,US,Adverum Biotechnologies Inc,Common Stock,USA,USD,US00773U1088,1.72,2022-07-21
217,AADR,US,AdvisorShares Dorsey Wright ADR ETF,ETF,USA,USD,US00768Y2063,48.87,2022-07-21
218,ADH,JSE,Advtech,Common Stock,South Africa,ZAC,ZAE000031035,1698.0,2022-07-21
219,2489,TSE,Adways Inc,Common Stock,Japan,JPY,JP3121970002,713.0,2022-07-21
220,ADX,AU,Adx Energy Ltd,Common Stock,Australia,AUD,AU000000ADX9,0.008,2022-07-21
221,ADYX,US,Adynxx Inc,Common Stock,USA,USD,US00784D1037,0.0003,2022-07-21
222,000738,SHE,Aecc Aero Engine Control Co Ltd,Common Stock,China,CNY,CNE000000RM5,28.4,2022-07-21
223,ACM,US,Aecom Technology Corporation,Common Stock,USA,USD,US00766T1007,68.05,2022-07-21
