new_index,longName,marketName,secIdList,Origin_Name,Origin_Stock,Origin_Country
131,ACTUAL EXPERIENCE PLC,ASQ1,GB00BJ05QC14,ACTUAL EXPERIENCE PLC,ACT,United Kingdom
132,ACUITY BRANDS INC,AYI,US00508Y1029,ACUITY BRANDS INC,AYI,United States of America
133,ACUITYADS HOLDING INC,AT,CA00510L1067,ACUITYADS HOLDING INC,AT,Canada
134,ACURA PHARMACEUTICALS INC,LIMITED,US00509L8028,ACURA PHARMACEUTICALS INC,ACUR,United States of America
135,ACUSHNET HOLDINGS CORP,GOLF,US0050981085,ACUSHNET HOLDINGS CORP,GOLF,United States of America
136,ACUSPHERE INC,NOINFO,US00511R8549,ACUSPHERE INC,ACUS,United States of America
137,AD SYSTEMS COMMUNICATIONS IN,ADSYQ,US00515Q1004,AD SYSTEMS COMMUNICATIONS IN,ADSYQ,United States of America
138,ADACEL TECHNOLOGIES LIMITED,ADA,AU000000ADA7,ADACEL TECHNOLOGIES LIMITED,ADA,Australia
139,ADAIRS LTD,ADH,AU000000ADH2,ADAIRS LTD,ADH,Australia
140,ADALTA LTD,1AD,AU0000001AD2,ADALTA LTD,1AD,Australia
141,ADAMA LTD-A,000553,CNE0000004V0,ADAMA LTD-A,000553,China
142,ADAMA TECHNOLOGIES CORP,ADAC,US00547Q3002,ADAMA TECHNOLOGIES CORP,ADAC,
143,ADAMAS PHARMACEUTICALS INC,ADMS,US00548A1060,ADAMAS PHARMACEUTICALS INC,ADMS,United States of America
144,ADAMERA MINERALS CORP,ADZ,CA00547Y1051,ADAMERA MINERALS CORP,ADZ,Canada
145,ADAMIS PHARMACEUTICALS CORP,SCM,US00547W2089,ADAMIS PHARMACEUTICALS CORP,ADMP,United States of America
146,ADAMS NATURAL RESOURCES FUND,PEO,US00548F1057,ADAMS NATURAL RESOURCES FUND,PEO,United States of America
147,ADAMS PLC,ASQ1,IM00B986V543,ADAMS PLC,ADA,United Kingdom
148,ADANI ENTERPRISES LTD,ADANIENT,INE423A01024,ADANI ENTERPRISES LTD,ADANIENT,India
149,ADANI GREEN ENERGY LTD,ADANIGREE,INE364U01010,ADANI GREEN ENERGY LTD,ADANIGREE,India
150,ADANI PORTS AND SPECIAL ECON,ADANIPORT,INE742F01042,ADANI PORTS AND SPECIAL ECON,ADANIPORT,India
151,ADANI POWER LIMITED,ADANIPOWE,INE814H01011,ADANI POWER LIMITED,ADANIPOWE,India
152,ADANI TRANSMISSION LTD,ADANITRAN,INE931S01010,ADANI TRANSMISSION LTD,ADANITRAN,India
153,ADAPTIMMUNE THERAPEUTICS-ADR,NMS,US00653A1079,ADAPTIMMUNE THERAPEUTICS-ADR,ADAP,United States of America
154,ADAPTIVE AD SYSTEMS INC,CURRENT,US00650A1007,ADAPTIVE AD SYSTEMS INC,AATV,United States of America
155,ADAPTIVE BIOTECHNOLOGIES,NMS,US00650F1093,ADAPTIVE BIOTECHNOLOGIES,ADPT,United States of America
156,ADAPTIVE MEDIAS INC,NOINFO,US00652J2087,ADAPTIVE MEDIAS INC,ADTM,United States of America
157,ADASTRIA CO LTD,2685,JP3856000009,ADASTRIA CO LTD,2685,Japan
158,ADCARE HEALTH SYSTEMS INC,ADK,US00650W3007,ADCARE HEALTH SYSTEMS INC,ADK,
159,ADCORE INC,ADCO,CA00654B1040,ADCORE INC,ADCO,Canada
160,ADDENTAX GROUP CORP,CURRENT,US00653L2025,ADDENTAX GROUP CORP,ATXG,United States of America
161,ADDEX THERAPEUTICS LTD,XETRA,CH0029850754,ADDEX THERAPEUTICS LTD,APE,Germany
162,ADDIKO BANK AG,XETRA,AT000ADDIKO0,ADDIKO BANK AG,ADKO,Austria
163,ADDSINO CO LTD -A,000547,CNE000000DM5,ADDSINO CO LTD -A,000547,China
164,ADDUS HOMECARE CORP,NMS,US0067391062,ADDUS HOMECARE CORP,ADUS,United States of America
165,ADDVALUE TECHNOLOGIES LTD,A31,SG1I67883666,ADDVALUE TECHNOLOGIES LTD,A31,Singapore
166,ADECCO GROUP AG-REG,XETRA,CH0012138605,ADECCO GROUP AG-REG,ADI1,Germany
167,ADEKA CORP,4401,JP3114800000,ADEKA CORP,4401,Japan
168,ADELAIDE-ASSET BACK YIELD TR,AYT,AU000000AYT3,ADELAIDE-ASSET BACK YIELD TR,AYT,
169,ADEPTUS HEALTH INC-CLASS A,ADPTQ,US0068551003,ADEPTUS HEALTH INC-CLASS A,ADPTQ,
170,ADESTO TECHNOLOGIES CORP,IOTS,US00687D1019,ADESTO TECHNOLOGIES CORP,IOTS,
171,ADEX MINING INC,ADE,CA0069032070,ADEX MINING INC,ADE,Canada
172,ADF FOODS LTD,ADFFOODS,INE982B01019,ADF FOODS LTD,ADFFOODS,India
173,ADF GROUP INC,DRX,CA00089N1033,ADF GROUP INC,DRX,Canada
174,ADHERA THERAPEUTICS INC,CURRENT,US00687E1091,ADHERA THERAPEUTICS INC,ATRX,United States of America
175,ADHERIUM LTD,ADR,AU000000ADR1,ADHERIUM LTD,ADR,Australia
176,ADHUNIK METALIKS LTD,ADHUNIK,INE400H01019,ADHUNIK METALIKS LTD,ADHUNIK,
177,ADIAL PHARMACEUTICALS INC,SCM,US00688A1060,ADIAL PHARMACEUTICALS INC,ADIL,United States of America
178,ADIDAS AG,ADSN,DE000A1EWWW0,ADIDAS AG,ADSN,Mexico
179,ADIDAS AG-SPONSORED ADR,INTPREMQX,US00687A1079,ADIDAS AG-SPONSORED ADR,ADDYY,United States of America
180,ADIENT PLC,ADNT,IE00BD845X29,ADIENT PLC,ADNT,United States of America
